passengerid,survived,pclass,name,sex,age,sibsp,parch,fare,embarked,familysize,isalone,no_fare,title,fare_category,small_f,med_f,large_f
186,0.0,1,1015,1,28.0,0,0,50.0,2,1,1,0,3,4,0,0,0
187,1.0,3,876,0,28.0,1,0,15.5,1,2,0,0,4,3,1,0,0
188,1.0,1,1013,1,45.0,0,0,26.55,2,1,1,0,3,3,0,0,0
189,0.0,3,142,1,40.0,1,1,15.5,1,3,0,0,3,3,0,1,0
190,0.0,3,1190,1,36.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
191,1.0,2,965,0,32.0,0,0,13.0,2,1,1,0,4,2,0,0,0
192,0.0,2,197,1,19.0,0,0,13.0,2,1,1,0,3,2,0,0,0
193,1.0,3,29,0,19.0,1,0,7.8542,2,2,0,0,2,1,1,0,0
194,1.0,2,848,1,3.0,1,1,26.0,2,3,0,0,0,3,0,1,0
195,1.0,1,162,0,44.0,0,0,27.7208,0,1,1,0,4,3,0,0,0
196,1.0,1,729,0,58.0,0,0,146.5208,0,1,1,0,2,4,0,0,0
197,0.0,3,788,1,28.0,0,0,7.75,1,1,1,0,3,1,0,0,0
198,0.0,3,891,1,42.0,0,1,8.4042,2,2,0,0,3,2,1,0,0
199,1.0,3,733,0,28.0,0,0,7.75,1,1,1,0,2,1,0,0,0
200,0.0,2,1280,0,24.0,0,0,13.0,2,1,1,0,2,2,0,0,0
201,0.0,3,1201,1,28.0,0,0,9.5,2,1,1,0,3,2,0,0,0
203,0.0,3,591,1,34.0,0,0,6.4958,2,1,1,0,3,1,0,0,0
204,0.0,3,1277,1,45.5,0,0,7.225,0,1,1,0,3,1,0,0,0
205,1.0,3,245,1,18.0,0,0,8.05,2,1,1,0,3,2,0,0,0
206,0.0,3,1143,0,2.0,0,1,10.4625,2,2,0,0,2,2,1,0,0
207,0.0,3,76,1,32.0,1,0,15.85,2,2,0,0,3,3,1,0,0
208,1.0,3,15,1,26.0,0,0,18.7875,0,1,1,0,3,3,0,0,0
209,1.0,3,203,0,16.0,0,0,7.75,1,1,1,0,2,1,0,0,0
210,1.0,1,131,1,40.0,0,0,31.0,0,1,1,0,3,3,0,0,0
211,0.0,3,19,1,24.0,0,0,7.05,2,1,1,0,3,1,0,0,0
212,1.0,2,189,0,35.0,0,0,21.0,2,1,1,0,2,3,0,0,0
213,0.0,3,945,1,22.0,0,0,7.25,2,1,1,0,3,1,0,0,0
214,0.0,2,442,1,30.0,0,0,13.0,2,1,1,0,3,2,0,0,0
215,0.0,3,644,1,28.0,1,0,7.75,1,2,0,0,3,1,1,0,0
216,1.0,1,852,0,31.0,1,0,113.275,0,2,0,0,2,4,1,0,0
217,1.0,3,554,0,27.0,0,0,7.925,2,1,1,0,2,2,0,0,0
218,0.0,2,576,1,42.0,1,0,27.0,2,2,0,0,3,3,1,0,0
219,1.0,1,100,0,32.0,0,0,76.2917,0,1,1,0,2,4,0,0,0
220,0.0,2,502,1,30.0,0,0,10.5,2,1,1,0,3,2,0,0,0
221,1.0,3,1145,1,16.0,0,0,8.05,2,1,1,0,3,2,0,0,0
222,0.0,2,148,1,27.0,0,0,13.0,2,1,1,0,3,2,0,0,0
223,0.0,3,464,1,51.0,0,0,8.05,2,1,1,0,3,2,0,0,0
224,0.0,3,850,1,28.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
225,1.0,1,561,1,38.0,1,0,90.0,2,2,0,0,3,4,1,0,0
226,0.0,3,116,1,22.0,0,0,9.35,2,1,1,0,3,2,0,0,0
227,1.0,2,786,1,19.0,0,0,10.5,2,1,1,0,3,2,0,0,0
228,0.0,3,724,1,20.5,0,0,7.25,2,1,1,0,3,1,0,0,0
229,0.0,2,377,1,18.0,0,0,13.0,2,1,1,0,3,2,0,0,0
230,0.0,3,687,0,28.0,3,1,25.4667,2,5,0,0,2,3,0,0,1
231,1.0,1,503,0,35.0,1,0,83.475,2,2,0,0,4,4,1,0,0
232,0.0,3,679,1,29.0,0,0,7.775,2,1,1,0,3,1,0,0,0
233,0.0,2,1090,1,59.0,0,0,13.5,2,1,1,0,3,2,0,0,0
234,1.0,3,61,0,5.0,4,2,31.3875,2,7,0,0,2,4,0,0,1
235,0.0,2,701,1,24.0,0,0,10.5,2,1,1,0,3,2,0,0,0
236,0.0,3,493,0,28.0,0,0,7.55,2,1,1,0,2,1,0,0,0
237,0.0,2,547,1,44.0,1,0,26.0,2,2,0,0,3,3,1,0,0
238,1.0,2,253,0,8.0,0,2,26.25,2,3,0,0,2,3,0,1,0
239,0.0,2,944,1,19.0,0,0,10.5,2,1,1,0,3,2,0,0,0
240,0.0,2,565,1,33.0,0,0,12.275,2,1,1,0,3,2,0,0,0
241,0.0,3,1282,0,28.0,1,0,14.4542,0,2,0,0,2,2,1,0,0
242,1.0,3,830,0,28.0,1,0,15.5,1,2,0,0,2,3,1,0,0
243,0.0,2,249,1,29.0,0,0,10.5,2,1,1,0,3,2,0,0,0
244,0.0,3,736,1,22.0,0,0,7.125,2,1,1,0,3,1,0,0,0
245,0.0,3,71,1,30.0,0,0,7.225,0,1,1,0,3,1,0,0,0
246,0.0,1,796,1,44.0,2,0,90.0,1,3,0,0,1,4,0,1,0
247,0.0,3,703,0,25.0,0,0,7.775,2,1,1,0,2,1,0,0,0
248,1.0,2,483,0,24.0,0,2,14.5,2,3,0,0,4,2,0,1,0
249,1.0,1,110,1,37.0,1,1,52.5542,2,3,0,0,3,4,0,1,0
250,0.0,2,212,1,54.0,1,0,26.0,2,2,0,0,1,3,1,0,0
251,0.0,3,980,1,28.0,0,0,7.25,2,1,1,0,3,1,0,0,0
252,0.0,3,1144,0,29.0,1,1,10.4625,2,3,0,0,4,2,0,1,0
253,0.0,1,1129,1,62.0,0,0,26.55,2,1,1,0,3,3,0,0,0
254,0.0,3,716,1,30.0,1,0,16.1,2,2,0,0,3,3,1,0,0
255,0.0,3,1018,0,41.0,0,2,20.2125,2,3,0,0,4,3,0,1,0
256,1.0,3,1185,0,29.0,0,2,15.2458,0,3,0,0,4,3,0,1,0
257,1.0,1,1171,0,28.0,0,0,79.2,0,1,1,0,4,4,0,0,0
258,1.0,1,228,0,30.0,0,0,86.5,2,1,1,0,2,4,0,0,0
259,1.0,1,1216,0,35.0,0,0,512.3292,0,1,1,0,2,4,0,0,0
260,1.0,2,925,0,50.0,0,1,26.0,2,2,0,0,4,3,1,0,0
261,0.0,3,1108,1,28.0,0,0,7.75,1,1,1,0,3,1,0,0,0
262,1.0,3,59,1,3.0,4,2,31.3875,2,7,0,0,0,4,0,0,1
263,0.0,1,1156,1,52.0,1,1,79.65,2,3,0,0,3,4,0,1,0
264,0.0,1,504,1,40.0,0,0,0.0,2,1,1,1,3,1,0,0,0
265,0.0,3,525,0,28.0,0,0,7.75,1,1,1,0,2,1,0,0,0
266,0.0,2,981,1,36.0,0,0,10.5,2,1,1,0,3,2,0,0,0
267,0.0,3,919,1,16.0,4,1,39.6875,2,6,0,0,3,4,0,0,1
268,1.0,3,948,1,25.0,1,0,7.775,2,2,0,0,3,1,1,0,0
269,1.0,1,463,0,58.0,0,1,153.4625,2,2,0,0,4,4,1,0,0
270,1.0,1,127,0,35.0,0,0,135.6333,2,1,1,0,2,4,0,0,0
271,0.0,1,182,1,28.0,0,0,31.0,2,1,1,0,3,3,0,0,0
272,1.0,3,1181,1,25.0,0,0,0.0,2,1,1,1,3,1,0,0,0
273,1.0,2,785,0,41.0,0,1,19.5,2,2,0,0,4,3,1,0,0
274,0.0,1,845,1,37.0,0,1,29.7,0,2,0,0,3,3,1,0,0
275,1.0,3,516,0,28.0,0,0,7.75,1,1,1,0,2,1,0,0,0
276,1.0,1,45,0,63.0,1,0,77.9583,2,2,0,0,2,4,1,0,0
277,0.0,3,704,0,45.0,0,0,7.75,2,1,1,0,2,1,0,0,0
278,0.0,2,923,1,28.0,0,0,0.0,2,1,1,1,3,1,0,0,0
279,0.0,3,991,1,7.0,4,1,29.125,1,6,0,0,0,3,0,0,1
280,1.0,3,3,0,35.0,1,1,20.25,2,3,0,0,4,3,0,1,0
281,0.0,3,351,1,65.0,0,0,7.75,1,1,1,0,3,1,0,0,0
282,0.0,3,894,1,28.0,0,0,7.8542,2,1,1,0,3,1,0,0,0
283,0.0,3,1290,1,16.0,0,0,9.5,2,1,1,0,3,2,0,0,0
284,1.0,3,339,1,19.0,0,0,8.05,2,1,1,0,3,2,0,0,0
285,0.0,1,1107,1,28.0,0,0,26.0,2,1,1,0,3,3,0,0,0
286,0.0,3,1125,1,33.0,0,0,8.6625,0,1,1,0,3,2,0,0,0
287,1.0,3,1289,1,30.0,0,0,9.5,2,1,1,0,3,2,0,0,0
288,0.0,3,835,1,22.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
289,1.0,2,557,1,42.0,0,0,13.0,2,1,1,0,3,2,0,0,0
290,1.0,3,261,0,22.0,0,0,7.75,1,1,1,0,2,1,0,0,0
291,1.0,1,92,0,26.0,0,0,78.85,2,1,1,0,2,4,0,0,0
292,1.0,1,126,0,19.0,1,0,91.0792,0,2,0,0,4,4,1,0,0
293,0.0,2,699,1,36.0,0,0,12.875,0,1,1,0,3,2,0,0,0
294,0.0,3,475,0,24.0,0,0,8.85,2,1,1,0,2,2,0,0,0
295,0.0,3,799,1,24.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
296,0.0,1,700,1,28.0,0,0,27.7208,0,1,1,0,3,3,0,0,0
297,0.0,3,485,1,23.5,0,0,7.2292,0,1,1,0,3,1,0,0,0
298,0.0,1,24,0,2.0,1,2,151.55,2,4,0,0,2,4,0,1,0
299,1.0,1,1040,1,28.0,0,0,30.5,2,1,1,0,3,3,0,0,0
300,1.0,1,99,0,50.0,0,1,247.5208,0,2,0,0,4,4,1,0,0
301,1.0,3,633,0,28.0,0,0,7.75,1,1,1,0,2,1,0,0,0
302,1.0,3,768,1,28.0,2,0,23.25,1,3,0,0,3,3,0,1,0
303,0.0,3,601,1,19.0,0,0,0.0,2,1,1,1,3,1,0,0,0
304,1.0,2,628,0,28.0,0,0,12.35,1,1,1,0,2,2,0,0,0
305,0.0,3,1262,1,28.0,0,0,8.05,2,1,1,0,3,2,0,0,0
306,1.0,1,23,1,0.92,1,2,151.55,2,4,0,0,0,4,0,1,0
307,1.0,1,387,0,28.0,0,0,110.8833,0,1,1,0,2,4,0,0,0
308,1.0,1,943,0,17.0,1,0,108.9,0,2,0,0,4,4,1,0,0
309,0.0,2,6,1,30.0,1,0,24.0,0,2,0,0,3,3,1,0,0
310,1.0,1,406,0,30.0,0,0,56.9292,0,1,1,0,2,4,0,0,0
311,1.0,1,512,0,24.0,0,0,83.1583,0,1,1,0,2,4,0,0,0
312,1.0,1,1033,0,18.0,2,2,262.375,0,5,0,0,2,4,0,0,1
313,0.0,2,664,0,26.0,1,1,26.0,2,3,0,0,4,3,0,1,0
314,0.0,3,523,1,28.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
315,0.0,2,506,1,43.0,1,1,26.25,2,3,0,0,3,3,0,1,0
316,1.0,3,863,0,26.0,0,0,7.8542,2,1,1,0,2,1,0,0,0
317,1.0,2,618,0,24.0,1,0,26.0,2,2,0,0,4,3,1,0,0
318,0.0,2,816,1,54.0,0,0,14.0,2,1,1,0,1,2,0,0,0
319,1.0,1,1246,0,31.0,0,2,164.8667,2,3,0,0,2,4,0,1,0
320,1.0,1,1119,0,40.0,1,1,134.5,0,3,0,0,4,4,0,1,0
321,0.0,3,323,1,22.0,0,0,7.25,2,1,1,0,3,1,0,0,0
322,0.0,3,300,1,27.0,0,0,7.8958,2,1,1,0,3,1,0,0,0
323,1.0,2,1098,0,30.0,0,0,12.35,1,1,1,0,2,2,0,0,0
324,1.0,2,186,0,22.0,1,1,29.0,2,3,0,0,4,3,0,1,0
326,1.0,1,1276,0,36.0,0,0,135.6333,0,1,1,0,2,4,0,0,0
327,0.0,3,873,1,61.0,0,0,6.2375,2,1,1,0,3,1,0,0,0
328,1.0,2,87,0,36.0,0,0,13.0,2,1,1,0,4,2,0,0,0
329,1.0,3,450,0,31.0,1,1,20.525,2,3,0,0,4,3,0,1,0
330,1.0,1,537,0,16.0,0,1,57.9792,0,2,0,0,2,4,1,0,0
331,1.0,3,766,0,28.0,2,0,23.25,1,3,0,0,2,3,0,1,0
